Date,Home,Away,HG,AG,1,X,2,Season,Result,HTR,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%
2026-05-05,Daejeon,Incheon,0,0,2.1,3.1,3.1,2026,D,D,68,0.0,1.0,1.0,0.0,0.0,2.0,-2.0,1.0,1.0,0.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,20.0
2026-05-05,Gangwon,Pohang,1,1,2.05,2.9,3.4,2026,D,D,69,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,33.3,33.3
2026-05-05,Jeonbuk,Gwangju FC,4,0,1.3,4.5,8.5,2026,H,H,70,1.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,66.7
2026-05-05,Sangmu,Ulsan,1,2,2.45,3.1,2.55,2026,A,A,71,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,3.0,1.0,2.0,-3.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,60.0,20.0
2026-05-05,Seoul,Anyang,0,0,1.67,3.3,4.4,2026,D,D,72,0.0,1.0,1.0,0.0,2.0,5.0,-3.0,3.0,2.0,1.0,-1.0,3.0,-4.0,0.0,1.0,-1.0,0.0,0.0,0.0,60.0,40.0,33.3,16.7
2026-05-02,Anyang,Bucheon,0,1,1.9,3.05,3.8,2026,A,D,61,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,-2.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,25.0,25.0,40.0,40.0
2026-05-02,Gwangju FC,Daejeon,0,5,4.2,3.3,1.72,2026,A,A,62,0.0,1.0,1.0,0.0,2.0,4.0,-2.0,5.0,1.0,4.0,-3.0,3.0,-6.0,0.0,1.0,-1.0,1.0,0.0,1.0,25.0,50.0,60.0,20.0
2026-05-02,Incheon,Gangwon,0,1,2.8,2.85,2.4,2026,A,A,63,1.0,1.0,0.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,1.0,3.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,40.0,60.0,40.0,40.0
2026-05-02,Jeju,Jeonbuk,0,2,4.1,3.2,1.77,2026,A,A,64,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,20.0,20.0
2026-05-02,Seoul,Sangmu,2,3,1.7,3.3,4.2,2026,A,D,65,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,75.0,25.0,20.0,20.0
2026-05-02,Ulsan,Pohang,0,1,2.1,3.1,3.05,2026,A,D,66,0.0,0.0,1.0,1.0,1.0,2.0,-1.0,4.0,3.0,1.0,-3.0,-1.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,40.0,40.0,0.0,50.0
2026-04-26,Gwangju FC,Anyang,2,5,3.4,2.95,2.05,2026,A,A,58,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,20.0,20.0
2026-04-26,Jeonbuk,Pohang,3,2,2.0,3.05,3.3,2026,H,H,59,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
2026-04-26,Ulsan,Daejeon,1,4,2.0,3.3,3.1,2026,A,A,60,1.0,1.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,25.0,50.0,25.0
2026-04-25,Bucheon,Sangmu,0,2,2.95,3.05,2.2,2026,A,A,55,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0
2026-04-25,Gangwon,Seoul,1,2,2.45,2.85,2.75,2026,A,A,56,0.0,1.0,0.0,0.0,1.0,4.0,-3.0,1.0,1.0,0.0,0.0,3.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,25.0,0.0,80.0,0.0
2026-04-25,Incheon,Jeju,1,0,1.9,3.3,3.4,2026,H,D,57,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,50.0,25.0
2026-04-22,Anyang,Ulsan,1,1,2.95,3.05,2.2,2026,D,H,52,0.0,1.0,0.0,0.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,75.0,25.0
2026-04-22,Daejeon,Jeju,0,1,1.7,3.3,4.4,2026,A,A,53,0.0,1.0,1.0,0.0,0.0,2.0,-2.0,2.0,0.0,2.0,-2.0,2.0,-4.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,50.0,33.3,33.3
