Date,Home,Away,SourceHome,SourceAway,HG,AG,HTHG,HTAG,MatchScore
2019-05-18,AFC Eskilstuna,Helsingborg,AFC Eskilstuna,Helsingborg,1,1,0,0,1.0
2019-05-12,Malmo FF,Elfsborg,Malmö FF,IF Elfsborg,4,1,1,0,0.9444444444444444
2019-05-12,Djurgarden,AIK,Djurgården,AIK,0,2,0,0,1.0
2019-05-11,Ostersunds,Hacken,Östersunds FK,BK Häcken,1,1,1,1,0.8831168831168831
2019-05-11,Kalmar,Helsingborg,Kalmar FF,Helsingborg,1,0,0,0,0.9285714285714286
2019-05-11,AFC Eskilstuna,Falkenbergs,AFC Eskilstuna,Falkenbergs FF,0,0,0,0,0.9583333333333333
2019-05-05,Orebro,Hammarby,Orebro SK,Hammarby IF,2,3,0,1,0.873015873015873
2019-05-05,Kalmar,Ostersunds,Kalmar FF,Östersunds FK,1,1,0,1,0.8831168831168831
2019-05-05,Hacken,Sundsvall,BK Häcken,GIF Sundsvall,1,0,0,0,0.8571428571428571
2019-05-05,Falkenbergs,Malmo FF,Falkenbergs FF,Malmö FF,1,2,1,2,0.9583333333333333
2019-05-04,Sirius,Goteborg,IK Sirius,IFK Göteborg,2,4,2,1,0.849624060150376
2019-05-04,AIK,AFC Eskilstuna,AIK,AFC Eskilstuna,2,1,1,0,1.0
2019-04-28,Norrkoping,Malmo FF,IFK Norrköping,Malmö FF,1,1,1,1,0.9347826086956521
2019-04-28,Hammarby,Djurgarden,Hammarby IF,Djurgården,2,1,2,1,0.9444444444444444
2019-04-28,Hacken,AFC Eskilstuna,BK Häcken,AFC Eskilstuna,3,0,0,0,0.9285714285714286
2019-04-27,Sirius,Elfsborg,IK Sirius,IF Elfsborg,2,4,1,4,0.873015873015873
2019-04-22,Goteborg,Helsingborg,IFK Göteborg,Helsingborg,3,1,2,0,0.9210526315789473
2019-04-21,Hammarby,AFC Eskilstuna,Hammarby IF,AFC Eskilstuna,3,1,2,0,0.9444444444444444
2019-04-21,Hacken,Djurgarden,BK Häcken,Djurgården,0,1,0,0,0.9285714285714286
2019-04-20,Sundsvall,Kalmar,GIF Sundsvall,Kalmar FF,1,2,1,2,0.8571428571428571
2019-04-20,Sirius,Malmo FF,IK Sirius,Malmö FF,0,1,0,0,0.9285714285714286
2019-04-19,Ostersunds,Elfsborg,Östersunds FK,IF Elfsborg,1,1,0,1,0.898989898989899
2019-04-19,Orebro,AIK,Orebro SK,AIK,2,1,0,0,0.9285714285714286
2019-04-19,Norrkoping,Falkenbergs,IFK Norrköping,Falkenbergs FF,4,3,2,1,0.8931159420289855
2019-04-14,Malmo FF,Ostersunds,Malmö FF,Östersunds FK,2,0,1,0,0.9545454545454546
2019-04-14,Elfsborg,Sundsvall,IF Elfsborg,GIF Sundsvall,3,1,1,1,0.873015873015873
2019-04-14,AIK,Sirius,AIK,IK Sirius,2,1,0,1,0.9285714285714286
2019-04-13,Kalmar,Norrkoping,Kalmar FF,IFK Norrköping,2,2,0,0,0.8633540372670807
2019-04-13,Falkenbergs,Hacken,Falkenbergs FF,BK Häcken,0,3,0,0,0.8869047619047619
2019-04-07,Ostersunds,Falkenbergs,Östersunds FK,Falkenbergs FF,3,2,1,1,0.9128787878787878
2019-04-07,Hammarby,Kalmar,Hammarby IF,Kalmar FF,1,1,0,1,0.873015873015873
2019-04-07,Goteborg,Elfsborg,IFK Göteborg,IF Elfsborg,3,0,2,0,0.8654970760233918
2019-04-06,Sundsvall,Malmo FF,GIF Sundsvall,Malmö FF,3,1,0,0,0.9285714285714286
2019-04-06,Hacken,Helsingborg,BK Häcken,Helsingborg,2,1,1,0,0.9285714285714286
2019-03-31,Kalmar,Sirius,Kalmar FF,IK Sirius,0,2,0,1,0.8571428571428571
2019-03-31,Helsingborg,Norrkoping,Helsingborg,IFK Norrköping,3,1,2,1,0.9347826086956521
2019-03-31,Falkenbergs,Orebro,Falkenbergs FF,Orebro SK,1,0,0,0,0.8869047619047619
2019-03-31,AIK,Ostersunds,AIK,Östersunds FK,0,0,0,0,0.9545454545454546
2019-03-31,AFC Eskilstuna,Goteborg,AFC Eskilstuna,IFK Göteborg,3,1,1,0,0.9210526315789473
2018-11-25,Brommapojkarna,AFC Eskilstuna,IF Brommapojkarna,AFC Eskilstuna,1,2,1,0,0.9666666666666667
2018-11-11,Sundsvall,Dalkurd,GIF Sundsvall,Dalkurd FF,0,1,0,1,0.8660714285714286
2018-11-11,Ostersunds,Hammarby,Östersunds FK,Hammarby IF,3,3,2,0,0.898989898989899
2018-11-11,Orebro,Goteborg,Orebro SK,IFK Göteborg,1,3,0,1,0.849624060150376
2018-11-11,Malmo FF,Elfsborg,Malmö FF,IF Elfsborg,2,0,0,0,0.9444444444444444
2018-11-11,Kalmar,AIK,Kalmar FF,AIK,0,1,0,1,0.9285714285714286
2018-11-11,Hacken,Norrkoping,BK Häcken,IFK Norrköping,0,1,0,1,0.8633540372670807
2018-11-11,Djurgarden,Sirius,Djurgården,IK Sirius,1,0,1,0,0.9285714285714286
2018-11-11,Brommapojkarna,Trelleborgs,IF Brommapojkarna,Trelleborgs FF,3,0,2,0,0.925
2018-11-04,Norrkoping,Orebro,IFK Norrköping,Orebro SK,3,2,0,1,0.8633540372670807
2018-11-04,Goteborg,Malmo FF,IFK Göteborg,Malmö FF,0,3,0,0,0.9210526315789473
2018-10-28,Orebro,Djurgarden,Orebro SK,Djurgården,1,1,0,1,0.9285714285714286
