Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HTR,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2026-04-27,2025,Cagliari,Atalanta,3.0,2.0,H,O,4.51,3.64,1.74,D,4.0,6.0,4.0,6.0,17,1.0,1.0,2.0,1.0,2.0,6.0,-4.0,3.0,4.0,-1.0,-1.0,2.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,31.2,43.8,31.2,25.0,10.0,18.0,13.0,23.0
2026-04-26,2025,Torino,Inter,2.0,2.0,D,O,7.17,4.61,1.4,A,2.0,5.0,5.0,5.0,17,3.0,2.0,1.0,1.0,9.0,7.0,2.0,4.0,5.0,-1.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,43.8,43.8,75.0,18.8,15.0,20.0,15.0,22.0
2026-04-26,2025,Milan,Juventus,0.0,0.0,D,U,2.93,3.11,2.45,D,1.0,5.0,1.0,3.0,17,2.0,2.0,2.0,1.0,4.0,7.0,-3.0,6.0,6.0,0.0,-2.0,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,56.2,18.8,50.0,31.2,17.0,23.0,14.0,10.0
2026-04-26,2025,Genoa,Como,0.0,2.0,A,U,4.52,3.63,1.75,A,1.0,2.0,2.0,3.0,18,3.0,2.0,1.0,1.0,7.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,35.3,41.2,43.8,25.0,19.0,11.0,16.0,15.0
2026-04-26,2025,Fiorentina,Sassuolo,0.0,0.0,D,U,1.9,3.34,4.08,D,5.0,1.0,7.0,4.0,17,2.0,1.0,0.0,2.0,3.0,5.0,-2.0,1.0,6.0,-5.0,2.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,37.5,31.2,43.8,14.0,14.0,19.0,19.0
2026-04-25,2025,Verona,Lecce,0.0,0.0,D,U,2.66,2.98,2.8,D,3.0,2.0,2.0,4.0,17,0.0,0.0,4.0,4.0,1.0,2.0,-1.0,6.0,8.0,-2.0,-5.0,-6.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,6.2,68.8,18.8,68.8,13.0,8.0,21.0,16.0
2026-04-25,2025,Parma,Pisa,1.0,0.0,H,U,2.05,3.2,3.73,D,5.0,3.0,7.0,4.0,17,1.0,0.0,1.0,4.0,4.0,0.0,4.0,5.0,13.0,-8.0,-1.0,-13.0,12.0,0.0,0.0,0.0,1.0,3.0,-2.0,18.8,43.8,0.0,50.0,15.0,8.0,24.0,11.0
2026-04-25,2025,Bologna,Roma,0.0,2.0,A,U,2.98,3.21,2.38,A,2.0,2.0,7.0,7.0,17,2.0,0.0,2.0,3.0,4.0,6.0,-2.0,4.0,11.0,-7.0,0.0,-5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,37.5,50.0,43.8,50.0,16.0,7.0,19.0,12.0
2026-04-24,2025,Napoli,Cremonese,4.0,0.0,H,O,1.32,4.85,9.45,H,9.0,4.0,7.0,5.0,17,3.0,1.0,1.0,3.0,5.0,3.0,2.0,4.0,6.0,-2.0,1.0,-3.0,4.0,0.0,1.0,-1.0,1.0,1.0,0.0,68.8,6.2,23.5,58.8,16.0,11.0,34.0,11.0
2026-04-20,2025,Lecce,Fiorentina,1.0,1.0,D,U,3.42,3.28,2.13,A,4.0,3.0,5.0,2.0,17,2.0,3.0,2.0,1.0,4.0,7.0,-3.0,7.0,5.0,2.0,-3.0,2.0,-5.0,0.0,1.0,-1.0,2.0,1.0,1.0,25.0,50.0,25.0,43.8,8.0,10.0,15.0,11.0
2026-04-19,2025,Verona,Milan,0.0,1.0,A,U,6.12,3.83,1.56,A,2.0,3.0,6.0,1.0,16,0.0,2.0,3.0,2.0,1.0,4.0,-3.0,5.0,3.0,2.0,-4.0,1.0,-5.0,0.0,1.0,-1.0,1.0,0.0,1.0,6.7,66.7,56.2,12.5,11.0,12.0,23.0,20.0
2026-04-19,2025,Pisa,Genoa,1.0,2.0,A,O,3.24,3.12,2.29,D,4.0,5.0,5.0,5.0,17,1.0,1.0,3.0,2.0,4.0,2.0,2.0,5.0,4.0,1.0,-1.0,-2.0,1.0,1.0,1.0,0.0,0.0,2.0,-2.0,12.5,62.5,20.0,46.7,12.0,14.0,12.0,20.0
2026-04-19,2025,Juventus,Bologna,2.0,0.0,H,U,1.45,4.38,6.58,H,4.0,0.0,6.0,1.0,17,2.0,4.0,1.0,0.0,7.0,6.0,1.0,3.0,2.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,56.2,6.2,50.0,25.0,23.0,17.0,25.0,14.0
2026-04-19,2025,Cremonese,Torino,0.0,0.0,D,U,2.86,3.08,2.54,D,4.0,1.0,6.0,1.0,16,0.0,1.0,3.0,3.0,2.0,4.0,-2.0,8.0,8.0,0.0,-6.0,-4.0,-2.0,0.0,0.0,0.0,2.0,1.0,1.0,13.3,46.7,25.0,50.0,17.0,16.0,18.0,13.0
2026-04-18,2025,Udinese,Parma,0.0,1.0,A,U,2.16,2.99,3.77,D,3.0,1.0,10.0,5.0,17,1.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,5.0,-2.0,1.0,-2.0,3.0,1.0,0.0,1.0,0.0,1.0,-1.0,31.2,37.5,31.2,31.2,15.0,10.0,20.0,12.0
2026-04-18,2025,Roma,Atalanta,1.0,1.0,D,U,2.4,3.25,2.94,D,9.0,2.0,7.0,6.0,17,3.0,2.0,0.0,1.0,10.0,7.0,3.0,3.0,3.0,0.0,7.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,68.8,18.8,33.3,26.7,15.0,21.0,24.0,21.0
